,title,price,stars,sales,disc
78,"Redmi 12C (Royal Blue, 4GB RAM, 128GB Storage)","8,499",3.9 out of 5 stars,"8,446",(43% off)
79,"HONOR 90 (Emerald Green, 12GB + 512GB) | India's First Eye Risk-Free Display | 200MP Main & 50MP Selfie Camera | Segment First Quad-Curved AMOLED Screen | Without Charger","33,999",3.8 out of 5 stars,398,(32% off)
80,"Samsung Galaxy M34 5G (Waterfall Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","17,999",3.9 out of 5 stars,"4,667",(31% off)
81,itel S23+| 3D Curved Amoled Display| 16GB* RAM+256GB ROM| in-Display Fingerprint| 50MP AI Dual Rear + 32MP Front Camera| 5000mAh Battery| 2 Years Warranty| Lake Cyan,"13,999",3.9 out of 5 stars,79,(20% off)
82,"realme narzo 50 (Speed Black, 6GB RAM+128GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display","12,899",4.2 out of 5 stars,"18,510",(28% off)
83,"realme GT Neo 3 (150W) (Sprint White, 12GB RAM, 256GB Storage)","27,390",4.6 out of 5 stars,13,(40% off)
84,"Vivo Y56 5G (Black Engine, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","18,999",4.0 out of 5 stars,603,(24% off)
85,"Samsung Galaxy M34 5G (Waterfall Blue,8GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|16GB RAM with RAM+|Android 13|Without Charger","17,999",3.9 out of 5 stars,"4,667",
86,Redmi 12 5G Jade Black 4GB RAM 128GB ROM,"11,999",3.7 out of 5 stars,"2,841",
87,"OnePlus 11 5G (Titan Black, 8GB RAM, 128GB Storage)","9,999",4.3 out of 5 stars,"4,245",
88,"OnePlus 11 5G (Titan Black, 8GB RAM, 128GB Storage)","56,999",4.3 out of 5 stars,"4,245",
